incident_year,recovery_status,provoked_unprovoked,victim_activity
1791.0,fatal,unprovoked,swimming
1803.0,injured,unprovoked,swimming
1807.0,injured,unprovoked,swimming
1820.0,fatal,provoked,swimming
1825.0,injured,unprovoked,swimming
1830.0,injured,unprovoked,swimming
1832.0,injured,provoked,swimming
1832.0,injured,provoked,fishing
1836.0,injured,unprovoked,swimming
1836.0,fatal,unprovoked,swimming
1836.0,fatal,unprovoked,swimming
1837.0,fatal,unprovoked,swimming
1839.0,fatal,provoked,swimming
1840.0,fatal,unprovoked,swimming
1841.0,fatal,unprovoked,swimming
1847.0,injured,unprovoked,swimming
1847.0,injured,unprovoked,swimming
1849.0,fatal,provoked,swimming
1849.0,injured,unprovoked,swimming
1849.0,fatal,unprovoked,swimming
1850.0,fatal,unprovoked,swimming
1850.0,injured,unprovoked,swimming
1853.0,injured,provoked,swimming
1855.0,injured,unprovoked,swimming
1855.0,uninjured,unprovoked,swimming
1855.0,fatal,unprovoked,swimming
1855.0,fatal,unprovoked,swimming
1856.0,injured,unprovoked,swimming
1856.0,injured,unprovoked,
1858.0,fatal,unprovoked,swimming
1860.0,injured,unprovoked,swimming
1861.0,injured,unprovoked,swimming
1862.0,injured,unprovoked,swimming
1862.0,fatal,unprovoked,swimming
1863.0,fatal,unprovoked,swimming
1863.0,fatal,provoked,swimming
1863.0,injured,unprovoked,swimming
1863.0,fatal,unprovoked,
1865.0,fatal,unprovoked,swimming
1868.0,injured,unprovoked,swimming
1869.0,injured,unprovoked,swimming
1869.0,injured,provoked,fishing
1870.0,injured,unprovoked,swimming
1870.0,injured,provoked,spearfishing
1872.0,injured,unprovoked,swimming
1873.0,uninjured,unprovoked,unmotorised boating
1874.0,injured,unprovoked,swimming
1874.0,injured,unprovoked,swimming
1874.0,injured,provoked,swimming
1875.0,injured,unprovoked,swimming
1875.0,fatal,provoked,snorkelling
1875.0,injured,provoked,swimming
1875.0,injured,unprovoked,swimming
1876.0,injured,provoked,snorkelling
1876.0,injured,unprovoked,swimming
1876.0,fatal,provoked,snorkelling
1876.0,fatal,unprovoked,swimming
1876.0,uninjured,provoked,diving
1876.0,injured,unprovoked,swimming
1877.0,fatal,unprovoked,swimming
1877.0,injured,unprovoked,swimming
1877.0,injured,unprovoked,swimming
1877.0,injured,unprovoked,swimming
1877.0,injured,provoked,swimming
1878.0,injured,provoked,snorkelling
1878.0,injured,unprovoked,swimming
1878.0,injured,provoked,fishing
1878.0,injured,unprovoked,swimming
1879.0,fatal,unprovoked,swimming
1879.0,injured,unprovoked,swimming
1880.0,fatal,unprovoked,swimming
1880.0,injured,unprovoked,swimming
1880.0,injured,unprovoked,swimming
1880.0,fatal,unprovoked,swimming
1881.0,uninjured,unprovoked,swimming
1881.0,injured,unprovoked,
1881.0,injured,provoked,spearfishing
1881.0,fatal,unprovoked,swimming
1881.0,injured,unprovoked,swimming
1882.0,injured,provoked,snorkelling
1882.0,fatal,unprovoked,
1882.0,injured,unprovoked,swimming
1882.0,fatal,provoked,snorkelling
1882.0,fatal,provoked,snorkelling
1883.0,fatal,unprovoked,swimming
1883.0,fatal,unprovoked,swimming
1883.0,uninjured,provoked,swimming
1884.0,fatal,unprovoked,swimming
1885.0,uninjured,unprovoked,swimming
1885.0,injured,unprovoked,swimming
1886.0,uninjured,unprovoked,swimming
1886.0,injured,unprovoked,swimming
1887.0,uninjured,unprovoked,unmotorised boating
1887.0,fatal,unprovoked,swimming
1888.0,injured,provoked,snorkelling
1888.0,fatal,unprovoked,swimming
1889.0,fatal,unprovoked,swimming
1890.0,injured,unprovoked,swimming
1891.0,uninjured,provoked,diving
1891.0,injured,provoked,snorkelling
1892.0,fatal,provoked,diving
1892.0,injured,unprovoked,swimming
1892.0,injured,unprovoked,swimming
1892.0,injured,unprovoked,swimming
1893.0,uninjured,provoked,fishing
1893.0,fatal,unprovoked,swimming
1893.0,injured,unprovoked,swimming
1894.0,injured,unprovoked,swimming
1895.0,uninjured,unprovoked,unmotorised boating
1895.0,fatal,unprovoked,swimming
1895.0,injured,unprovoked,swimming
1895.0,fatal,provoked,diving
1895.0,fatal,provoked,swimming
1895.0,uninjured,provoked,diving
1895.0,fatal,unprovoked,swimming
1896.0,fatal,unprovoked,swimming
1896.0,fatal,unprovoked,swimming
1897.0,injured,unprovoked,swimming
1897.0,injured,unprovoked,swimming
1898.0,injured,provoked,fishing
1898.0,injured,provoked,fishing
1899.0,injured,unprovoked,swimming
1899.0,injured,unprovoked,swimming
1900.0,injured,unprovoked,swimming
1900.0,injured,unprovoked,swimming
1900.0,injured,unprovoked,swimming
1900.0,fatal,provoked,snorkelling
1900.0,fatal,unprovoked,swimming
1901.0,injured,unprovoked,swimming
1901.0,fatal,unprovoked,swimming
1901.0,injured,provoked,swimming
1901.0,injured,provoked,snorkelling
1901.0,injured,provoked,snorkelling
1901.0,injured,unprovoked,swimming
1902.0,injured,unprovoked,swimming
1902.0,injured,provoked,swimming
1903.0,fatal,unprovoked,swimming
1903.0,uninjured,provoked,fishing
1903.0,fatal,unprovoked,swimming
1903.0,uninjured,provoked,diving
1904.0,injured,unprovoked,swimming
1905.0,injured,unprovoked,swimming
1905.0,fatal,provoked,snorkelling
1906.0,fatal,unprovoked,swimming
1906.0,fatal,unprovoked,swimming
1906.0,fatal,provoked,snorkelling
1906.0,uninjured,unprovoked,motorised boating
